"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Track and Field","Women's Marathon","2016-01-01",5050,42,NULL,NULL,NULL
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",5053,5,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",5056,189,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",5056,189,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",5056,189,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",5056,189,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Rings","2016-01-01",5056,189,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",5056,189,NULL,NULL,NULL
"Track and Field","Men's 10,000 metres","2016-01-01",5065,189,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",5103,100,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",5127,128,NULL,NULL,NULL
"Track and Field","Men's Shot Put","2016-01-01",5191,147,NULL,NULL,NULL
"Track and Field","Men's 800 metres","2016-01-01",5309,148,NULL,NULL,NULL
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",5311,173,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Freestyle","2016-01-01",5335,119,NULL,NULL,NULL
"Track and Field","Women's 20 kilometres Walk","2016-01-01",5340,151,NULL,NULL,NULL
"Track and Field","Men's 20 kilometres Walk","2016-01-01",5358,57,NULL,NULL,NULL
"Track and Field","Women's Discus Throw","2016-01-01",5378,121,NULL,NULL,NULL
"Track and Field","Women's 200 metres","2016-01-01",5393,51,NULL,NULL,NULL
"Track and Field","Women's 800 metres","2016-01-01",5443,18,NULL,NULL,NULL
"Track and Field","Men's Long Jump","2016-01-01",5444,89,NULL,NULL,NULL
"Track and Field","Women's 400 metres Hurdles","2016-01-01",5475,198,NULL,NULL,NULL
"Track and Field","Women's Discus Throw","2016-01-01",5508,173,NULL,NULL,NULL
"Track and Field","Men's 110 metres Hurdles","2016-01-01",5523,195,NULL,NULL,NULL
"Swimming","Swimming Men's 200 metres Butterfly","2016-01-01",5528,131,NULL,NULL,NULL
"Swimming","Swimming Men's 200 metres Individual Medley","2016-01-01",5528,131,NULL,NULL,NULL
"Track and Field","Women's 200 metres","2016-01-01",5542,73,NULL,NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",5542,73,"1",NULL,NULL
"Track and Field","Women's Discus Throw","2016-01-01",5560,195,NULL,NULL,NULL
"Track and Field","Men's 100 metres","2016-01-01",5561,93,NULL,NULL,NULL
"Track and Field","Men's 200 metres","2016-01-01",5561,93,NULL,NULL,NULL
"Track and Field","Men's 4 x 100 metres Relay","2016-01-01",5561,93,NULL,NULL,"1"
"Swimming","Swimming Women's 400 metres Freestyle","2016-01-01",5577,11,NULL,NULL,NULL
"Swimming","Swimming Women's 800 metres Freestyle","2016-01-01",5577,11,NULL,NULL,NULL
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay","2016-01-01",5577,11,NULL,"1",NULL
"Track and Field","Women's Triple Jump","2016-01-01",5677,67,NULL,NULL,NULL
"Track and Field","Women's 3,000 metres Steeplechase","2016-01-01",5687,63,NULL,NULL,NULL
"Track and Field","Women's 800 metres","2016-01-01",5688,63,NULL,NULL,NULL
"Track and Field","Women's 100 metres","2016-01-01",5723,134,NULL,NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",5723,134,NULL,NULL,NULL
"Swimming","Swimming Men's 100 metres Backstroke","2016-01-01",5781,190,NULL,NULL,NULL
"Track and Field","Women's 4 x 100 metres Relay","2016-01-01",5783,179,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5801,43,NULL,NULL,NULL
"Track and Field","Men's 4 x 400 metres Relay","2016-01-01",5808,67,NULL,NULL,NULL
"Swimming","Swimming Women's 100 metres Breaststroke","2016-01-01",5817,93,NULL,NULL,NULL
"Track and Field","Men's 20 kilometres Walk","2016-01-01",5835,189,NULL,NULL,NULL
"Track and Field","Women's Marathon","2016-01-01",5848,160,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5853,106,NULL,NULL,NULL
"Swimming","Swimming Women's 4 x 100 metres Medley Relay","2016-01-01",5886,83,NULL,NULL,NULL
"Swimming","Swimming Men's 200 metres Freestyle","2016-01-01",5901,12,NULL,NULL,NULL
"Swimming","Swimming Men's 400 metres Freestyle","2016-01-01",5901,12,NULL,NULL,NULL
"Swimming","Swimming Men's 1,500 metres Freestyle","2016-01-01",5901,12,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5947,155,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Individual All-Around","2016-01-01",5948,67,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Team All-Around","2016-01-01",5948,67,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Floor Exercise","2016-01-01",5948,67,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Parallel Bars","2016-01-01",5948,67,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Horizontal Bar","2016-01-01",5948,67,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Rings","2016-01-01",5948,67,NULL,NULL,NULL
"Gymnastics","Gymnastics Men's Pommelled Horse","2016-01-01",5948,67,NULL,NULL,NULL
"Swimming","Swimming Men's 50 metres Freestyle","2016-01-01",5965,64,NULL,NULL,NULL
