"sport","event","year","athlete_id","country_id","bronze","silver","gold"
"Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay","2014-01-01",108529,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",108540,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 10 kilometres Pursuit","2014-01-01",108540,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 12.5 kilometres Mass Start","2014-01-01",108540,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 15 kilometres","2014-01-01",108540,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 4 x 6 kilometres Relay","2014-01-01",108540,193,NULL,NULL,"1"
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",108541,193,"1",NULL,NULL
"Biathlon","Biathlon Women's 10 kilometres Pursuit","2014-01-01",108541,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 12.5 kilometres Mass Start","2014-01-01",108541,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 15 kilometres","2014-01-01",108541,193,NULL,NULL,NULL
"Biathlon","Biathlon Women's 4 x 6 kilometres Relay","2014-01-01",108541,193,NULL,NULL,"1"
"Cross Country Skiing","Cross Country Skiing Men's Sprint","2014-01-01",108576,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 15 kilometres","2014-01-01",108576,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 50 kilometres","2014-01-01",108576,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 30 km Skiathlon","2014-01-01",108576,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay","2014-01-01",108576,18,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's Sprint","2014-01-01",108784,193,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",108787,9,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",108787,9,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 15 kilometres","2014-01-01",109015,89,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's Sprint","2014-01-01",109256,152,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Men's 15 kilometres","2014-01-01",109612,129,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 10 kilometres","2014-01-01",109653,193,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 30 kilometres","2014-01-01",109653,193,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 15 km Skiathlon","2014-01-01",109653,193,NULL,NULL,NULL
"Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay","2014-01-01",109653,193,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",109730,195,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",109730,195,NULL,NULL,"1"
"Biathlon","Biathlon Men's 10 kilometres Sprint","2014-01-01",109863,152,NULL,NULL,NULL
"Biathlon","Biathlon Men's 12.5 kilometres Pursuit","2014-01-01",109863,152,NULL,NULL,NULL
"Biathlon","Biathlon Men's 15 kilometres Mass Start","2014-01-01",109863,152,NULL,NULL,NULL
"Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay","2014-01-01",109863,152,NULL,NULL,"1"
"Alpine Skiing","Alpine Skiing Women's Super G","2014-01-01",109922,18,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Giant Slalom","2014-01-01",109922,18,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Slalom","2014-01-01",109922,18,NULL,NULL,NULL
"Biathlon","Biathlon Women's 7.5 kilometres Sprint","2014-01-01",110077,152,NULL,NULL,NULL
"Biathlon","Biathlon Women's 10 kilometres Pursuit","2014-01-01",110077,152,NULL,NULL,NULL
"Biathlon","Biathlon Women's 4 x 6 kilometres Relay","2014-01-01",110077,152,NULL,"1",NULL
"Alpine Skiing","Alpine Skiing Men's Super G","2014-01-01",110630,8,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Giant Slalom","2014-01-01",110630,8,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Slalom","2014-01-01",110630,8,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Men's Combined","2014-01-01",110630,8,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Downhill","2014-01-01",110631,8,NULL,NULL,NULL
"Alpine Skiing","Alpine Skiing Women's Super G","2014-01-01",110631,8,NULL,NULL,NULL
